               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.026559,            0.041396,           0.0024056,             0.86008,             0.75906,             0.76131,             0.35357,            0.045616,            0.083966,            0.011126,            0.005512,            0.005512,            0.005512
                 138,            0.025957,             0.04486,           0.0017973,             0.85343,             0.74181,             0.76748,             0.35431,            0.046998,            0.085337,            0.010839,            0.005479,            0.005479,            0.005479
                 139,            0.026415,            0.042704,           0.0023329,             0.84199,             0.75574,             0.76388,             0.34985,            0.046958,             0.08505,             0.01028,            0.005446,            0.005446,            0.005446
                 140,            0.027474,            0.044297,           0.0019576,             0.83324,             0.76015,             0.77548,             0.36076,            0.046065,            0.086126,            0.010067,            0.005413,            0.005413,            0.005413
                 141,            0.026862,            0.044538,            0.001969,             0.86479,             0.74424,             0.77008,              0.3522,            0.045803,            0.084886,            0.010276,             0.00538,             0.00538,             0.00538
                 142,            0.025051,            0.044785,           0.0026768,             0.86063,              0.7448,             0.76136,             0.35446,            0.045797,            0.085124,            0.010096,            0.005347,            0.005347,            0.005347
                 143,            0.026293,            0.042586,           0.0024025,             0.84097,             0.74026,             0.73745,             0.35831,            0.045977,            0.087088,            0.010276,            0.005314,            0.005314,            0.005314
                 144,            0.027865,            0.044563,           0.0019019,             0.86074,             0.75617,             0.76263,             0.35517,            0.046739,            0.086904,            0.010339,            0.005281,            0.005281,            0.005281
                 145,            0.026549,            0.048168,           0.0020004,             0.82906,             0.76398,             0.75524,             0.35625,            0.045479,             0.08635,            0.010147,            0.005248,            0.005248,            0.005248
                 146,            0.025616,            0.042344,           0.0021928,             0.83461,             0.74638,             0.75496,              0.3562,            0.046093,            0.087617,            0.010489,            0.005215,            0.005215,            0.005215
                 147,            0.024626,            0.039318,           0.0019542,             0.87271,             0.73608,             0.76264,             0.35372,            0.046409,            0.088196,            0.010815,            0.005182,            0.005182,            0.005182
                 148,            0.024979,            0.044015,            0.002096,             0.86671,             0.74064,             0.76282,             0.36447,            0.046607,             0.08857,            0.010979,            0.005149,            0.005149,            0.005149
                 149,            0.024092,            0.045588,            0.002669,             0.82963,             0.75618,             0.76557,             0.36123,            0.046724,            0.088528,            0.010717,            0.005116,            0.005116,            0.005116
                 150,            0.026664,              0.0463,           0.0029547,             0.84426,             0.74762,             0.76243,             0.35914,            0.045665,             0.08931,            0.010612,            0.005083,            0.005083,            0.005083
                 151,            0.024503,            0.040341,           0.0024011,             0.84439,              0.7694,             0.76671,             0.36135,            0.045943,            0.090151,            0.010728,             0.00505,             0.00505,             0.00505
                 152,            0.024725,              0.0412,           0.0021303,             0.81977,             0.75066,              0.7469,              0.3601,            0.045275,            0.088726,            0.010739,            0.005017,            0.005017,            0.005017
                 153,            0.024235,             0.04339,           0.0026349,             0.82117,             0.77282,             0.75422,             0.36439,            0.045403,            0.088201,             0.01062,            0.004984,            0.004984,            0.004984
                 154,            0.025846,            0.037676,            0.002109,             0.84202,             0.75204,             0.77065,             0.37349,            0.045832,            0.088406,            0.010623,            0.004951,            0.004951,            0.004951
                 155,            0.026005,            0.042672,            0.002499,              0.8266,             0.75864,             0.75593,             0.37136,            0.045575,            0.087897,            0.010596,            0.004918,            0.004918,            0.004918
                 156,            0.024059,            0.042848,           0.0026074,             0.81848,             0.76127,             0.75342,             0.36691,            0.046223,            0.087447,            0.010712,            0.004885,            0.004885,            0.004885
                 157,            0.026338,            0.044587,           0.0016249,             0.82166,             0.77205,             0.76601,             0.36314,            0.045484,            0.088687,            0.010653,            0.004852,            0.004852,            0.004852
                 158,            0.024801,             0.04037,           0.0029583,             0.81023,             0.77375,             0.74425,             0.36737,            0.046113,            0.089006,            0.010548,            0.004819,            0.004819,            0.004819
                 159,            0.025455,            0.041871,           0.0020706,             0.80038,             0.75968,               0.741,             0.36698,            0.045545,             0.08996,            0.010748,            0.004786,            0.004786,            0.004786
                 160,            0.025383,            0.041703,           0.0028535,             0.83681,             0.73668,             0.73961,             0.36285,            0.045983,            0.092527,            0.010756,            0.004753,            0.004753,            0.004753
